fixture_id,date,round,home_team,away_team,position,home_pair,away_pair,winning_pair,score,home_games,away_games,home_sets,away_sets,status,valid_for_rating,home_emergencies,away_emergencies
AA001011,30 Jan 16,1,Port Melbourne,Carmelite,No. 1,Ryan Sweeney / Ben Adam,Luke Johnson / Andre Gregorious,Luke Johnson / Andre Gregorious,6-7,6,7,0,1,Completed,true,"[false, false]","[false, false]"
AA001011,30 Jan 16,1,Port Melbourne,Carmelite,No. 2,Zac Climpson / Ben Collis,Will Hunt / Paddy Freemantle,Zac Climpson / Ben Collis,7-5,7,5,1,0,Completed,true,"[false, false]","[false, false]"
AA001012,30 Jan 16,1,Royal South Yarra 1,Kooyong MLC1,No. 1,Jemma Mitchell / Lucy Campbell,Alexandra McFarlane / Camilla Kaufman,Alexandra McFarlane / Camilla Kaufman,4-6,4,6,0,1,Completed,true,"[false, false]","[false, false]"
AA001012,30 Jan 16,1,Royal South Yarra 1,Kooyong MLC1,No. 2,Georgie Gough / Chloe Joubert,Harry Merzger / Olivia Douglas,Harry Merzger / Olivia Douglas,1-6,1,6,0,1,Completed,true,"[false, false]","[false, false]"
AA001013,30 Jan 16,1,Kooyong MLC2,Royal South Yarra 2,No. 1,Aaron Koh / Charlie Hummerston,Lachie Francis / Harry Cooper,Aaron Koh / Charlie Hummerston,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
AA001013,30 Jan 16,1,Kooyong MLC2,Royal South Yarra 2,No. 2,Thomas Palazzo / Jack Cannon,Eliza Mailer / Sophie Gough,Thomas Palazzo / Jack Cannon,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
AA001021,06 Feb 16,2,Royal South Yarra 2,Port Melbourne,No. 1,Lachie Francis / Stella Heidenreich,Ryan Sweeney / Zac Climpson,Ryan Sweeney / Zac Climpson,5-7,5,7,0,1,Completed,true,"[false, false]","[false, false]"
AA001021,06 Feb 16,2,Royal South Yarra 2,Port Melbourne,No. 2,Anouk Heidenreich / Sophie Gough,Jake Rothnic / Josh McKenzie,Jake Rothnic / Josh McKenzie,1-6,1,6,0,1,Completed,true,"[false, false]","[false, false]"
AA001022,06 Feb 16,2,Kooyong MLC1,Kooyong MLC2,No. 1,Alexandra McFarlane / Camilla Kaufman,Aaron Koh / Charlie Hummerston,Aaron Koh / Charlie Hummerston,4-6,4,6,0,1,Completed,true,"[false, false]","[false, false]"
AA001022,06 Feb 16,2,Kooyong MLC1,Kooyong MLC2,No. 2,Harry Merzger / Sarah Kaufman,Jack Cannon / Ruby Seymour,Harry Merzger / Sarah Kaufman,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
AA001023,06 Feb 16,2,Carmelite,Royal South Yarra 1,No. 1,Andre Gregorious / Will Hunt,Lucy Campbell / Georgie Gough,Andre Gregorious / Will Hunt,6-1,6,1,1,0,Completed,true,"[false, false]","[false, false]"
AA001023,06 Feb 16,2,Carmelite,Royal South Yarra 1,No. 2,Leon Katelis / Gus McDonald,Chloe Joubert / Ava Lansell,Leon Katelis / Gus McDonald,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
AA001031,13 Feb 16,3,Port Melbourne,Royal South Yarra 1,No. 1,Ben Adam / Zac Climpson,Jemma Mitchell / Lucy Campbell,Ben Adam / Zac Climpson,7-6,7,6,1,0,Completed,true,"[false, false]","[false, false]"
