fixture_id,date,round,home_team,away_team,position,home_player,away_player,winning_player,score,home_games,away_games,home_sets,away_sets,status,valid_for_rating,home_emergency,away_emergency
UA002011,21 Jul 13,1,Tennis World,GPHC,No. 1,Miles Castan,Tim Kay,Miles Castan,6-3,6,3,1,0,Completed,true,false,false
UA002011,21 Jul 13,1,Tennis World,GPHC,No. 2,Lucas Kellett,Jordan Capannolo,Jordan Capannolo,0-6,0,6,0,1,Completed,true,false,false
UA002011,21 Jul 13,1,Tennis World,GPHC,No. 3,Harry Wood,Anthony Horton,Anthony Horton,3-6,3,6,0,1,Completed,true,false,false
UA002011,21 Jul 13,1,Tennis World,GPHC,No. 4,James Caserly,Shay Manchanda,Shay Manchanda,5-7,5,7,0,1,Completed,true,false,false
UA002012,21 Jul 13,1,Kooyong 1,Kooyong 2,No. 1,Lachlan McAndrew,Will Swannson,Lachlan McAndrew,6-1,6,1,1,0,Completed,true,false,false
UA002012,21 Jul 13,1,Kooyong 1,Kooyong 2,No. 2,Charlie Geason,Hamish McIroy,Charlie Geason,6-4,6,4,1,0,Completed,true,false,false
UA002012,21 Jul 13,1,Kooyong 1,Kooyong 2,No. 3,Max Potter,Coco Swansson,Max Potter,6-2,6,2,1,0,Completed,true,false,false
UA002012,21 Jul 13,1,Kooyong 1,Kooyong 2,No. 4,Alex Main,Christopher Iramiyan,Christopher Iramiyan,3-6,3,6,0,1,Completed,true,false,false
UA002013,21 Jul 13,1,Mordialloc,Parkdale,No. 1,Chelsea Dutt,Nicholas Charlson,Nicholas Charlson,6-7,6,7,0,1,Completed,true,false,false
UA002013,21 Jul 13,1,Mordialloc,Parkdale,No. 2,Chloe Vuong,Alex Cameron,Chloe Vuong,7-6,7,6,1,0,Completed,true,false,false
UA002013,21 Jul 13,1,Mordialloc,Parkdale,No. 3,Vishal Ravi,Damian Basterfield,Vishal Ravi,6-1,6,1,1,0,Completed,true,false,false
UA002013,21 Jul 13,1,Mordialloc,Parkdale,No. 4,Sahishnu Siva-Ram,Matthew Williams,Sahishnu Siva-Ram,6-3,6,3,1,0,Completed,true,false,false
UA002014,21 Jul 13,1,Dendy Park,Chelsea Heights,No. 1,David Mirmilstein,Alex Pratrico,Alex Pratrico,0-6,0,6,0,1,Completed,true,false,false
UA002014,21 Jul 13,1,Dendy Park,Chelsea Heights,No. 2,Alex Demiri,Thomas O'Donnell,Thomas O'Donnell,2-6,2,6,0,1,Completed,true,false,false
UA002014,21 Jul 13,1,Dendy Park,Chelsea Heights,No. 3,Johnny Tzouvelis,Jimmy Danckert,Jimmy Danckert,3-6,3,6,0,1,Completed,true,false,false
