fixture_id,date,round,home_team,away_team,position,home_pair,away_pair,winning_pair,score,home_games,away_games,home_sets,away_sets,status,valid_for_rating,home_emergencies,away_emergencies
AA005011,18 Jul 26,1,Coatesville White,Coatesville Blue,No. 1,Oscar McCallum / Maisy McCallum,Patrick Freeman / Oliver Simpson,Oscar McCallum / Maisy McCallum,6-3,6,3,1,0,Completed,true,"[false, false]","[false, false]"
AA005011,18 Jul 26,1,Coatesville White,Coatesville Blue,No. 2,Martin Curnow / Thomas Jenner,Hiren Arunkumar / Max Bersulden,Martin Curnow / Thomas Jenner,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
AA005012,18 Jul 26,1,BLTC,Aspendale,No. 1,Lucas Volum / Abir Ahuja,Tom McCaul / Sean Butler,Tom McCaul / Sean Butler,3-6,3,6,0,1,Completed,true,"[true, false]","[false, false]"
AA005012,18 Jul 26,1,BLTC,Aspendale,No. 2,Aidan Cleland / Noah Wang,Conor Butler / Joe Corda,Conor Butler / Joe Corda,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
AA005013,18 Jul 26,1,Carmelite,Glen Huntly,No. 1,Mason Jeffries / Edward Heinrich,Peter Kalogeropoulos / Jadyn Green,Peter Kalogeropoulos / Jadyn Green,3-6,3,6,0,1,Completed,true,"[false, false]","[false, false]"
AA005013,18 Jul 26,1,Carmelite,Glen Huntly,No. 2,Roman Pulitano / [Unnamed player — TROLS AA005013 home code 4],Milo Peric / Brian Shu,Roman Pulitano / [Unnamed player — TROLS AA005013 home code 4],7-6,7,6,1,0,Completed,false,"[false, false]","[true, false]"
AA005014,18 Jul 26,1,Maccabi,Kooyong,No. 1,Aiden Knox / Max Behr,Noah Falieros / Luca Cellante,Noah Falieros / Luca Cellante,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
AA005014,18 Jul 26,1,Maccabi,Kooyong,No. 2,Jasper Gannon / Adam Inbar,Marko Savic / Ari Lohia,Marko Savic / Ari Lohia,3-6,3,6,0,1,Completed,true,"[false, false]","[true, true]"
AA005021,25 Jul 26,2,Kooyong,Coatesville White,No. 1,Noah Falieros / Jack Jones,Martin Curnow / Thomas Jenner,Martin Curnow / Thomas Jenner,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
AA005021,25 Jul 26,2,Kooyong,Coatesville White,No. 2,Luca Cellante / Spencer Tannous,Isabelle Li Zhang / Allegra Romagnino,Isabelle Li Zhang / Allegra Romagnino,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
